algorithm,dataset,size,average_time_microseconds,average_character_comparisons
quick_sort,random,100,782.496,29432
merge_sort,random,100,135.008,928
string_quick_sort,random,100,52.1166,656
string_merge_sort,random,100,113.654,928
msd_radix_sort,random,100,278.563,336
msd_radix_quick_sort,random,100,46.5251,296
quick_sort,reverse_sorted,100,743.466,29284
merge_sort,reverse_sorted,100,97.2708,828
string_quick_sort,reverse_sorted,100,185.112,2905
string_merge_sort,reverse_sorted,100,96.2458,828
msd_radix_sort,reverse_sorted,100,382.691,356
msd_radix_quick_sort,reverse_sorted,100,40.8248,305
quick_sort,nearly_sorted,100,753.496,27729
merge_sort,nearly_sorted,100,74.596,500
string_quick_sort,nearly_sorted,100,75.6832,1167
string_merge_sort,nearly_sorted,100,73.2375,500
msd_radix_sort,nearly_sorted,100,284.787,340
msd_radix_quick_sort,nearly_sorted,100,40.2333,309
quick_sort,prefix_heavy,100,2170.44,83506
merge_sort,prefix_heavy,100,1301.05,43000
string_quick_sort,prefix_heavy,100,141.416,4461
string_merge_sort,prefix_heavy,100,1198.57,43000
msd_radix_sort,prefix_heavy,100,1216.83,8092
msd_radix_quick_sort,prefix_heavy,100,860.363,8038
quick_sort,random,200,1583.51,60507
merge_sort,random,200,260.846,2383
string_quick_sort,random,200,111.854,1574
string_merge_sort,random,200,218.717,2383
msd_radix_sort,random,200,580.833,776
msd_radix_quick_sort,random,200,92.1585,714
quick_sort,reverse_sorted,200,1265.49,58358
merge_sort,reverse_sorted,200,240.392,2008
string_quick_sort,reverse_sorted,200,402.958,7465
string_merge_sort,reverse_sorted,200,291.408,2008
msd_radix_sort,reverse_sorted,200,593.221,788
msd_radix_quick_sort,reverse_sorted,200,87.7835,785
quick_sort,nearly_sorted,200,1303.5,56181
merge_sort,nearly_sorted,200,249.008,1650
string_quick_sort,nearly_sorted,200,192.029,3014
string_merge_sort,nearly_sorted,200,190.221,1650
msd_radix_sort,nearly_sorted,200,598.213,802
msd_radix_quick_sort,nearly_sorted,200,76.9416,727
quick_sort,prefix_heavy,200,4047.1,184958
merge_sort,prefix_heavy,200,2465.66,101191
string_quick_sort,prefix_heavy,200,241.921,9086
